categoria,subcategoria,item,valor,como_ler
Base comercial atual,Base ativa,Clientes totais,250,Base atual da clínica
Base comercial atual,Base ativa,Animais cadastrados,273,Base atual da clínica
Base comercial atual,Base ativa,Tutores com pets,216,Base atual da clínica
Base comercial atual,Pesquisa em andamento,Tutores no fluxo de pesquisa,124,Canal comercial já ativo
Base comercial atual,Pesquisa em andamento,Mensagens marcadas como enviadas,94,Abordagem já começou
Base comercial atual,Pesquisa em andamento,Tutores que responderam,25,Sinal inicial de engajamento
Base comercial atual,Pesquisa em andamento,Respostas estruturadas,14,Base mais confiável para preço e perfil
Base comercial atual,Pesquisa em andamento,Não enviar agora,30,Fora do fluxo por enquanto
Base comercial atual,Pesquisa em andamento,Ainda sem ação na pesquisa,92,Próxima frente de expansão
Intenção de compra,Pesquisa estruturada,Sim,12,Sinal fortemente favorável
Intenção de compra,Pesquisa estruturada,Talvez,1,Sinal neutro-positivo
Intenção de compra,Pesquisa estruturada,Não,1,Sinal minoritário
Demanda combinada por marca,Sinais combinados,Marcas variadas,15,Espaço para capturar mercado com proposta clara
Demanda combinada por marca,Sinais combinados,Special Dog,14,Marca mais consistente no conjunto total
Demanda combinada por marca,Sinais combinados,Golden,5,Marca forte na pesquisa anterior
Demanda combinada por marca,Sinais combinados,Coby,4,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Nutrilus,3,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Quatree,3,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Sabor Natural,2,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Robust,2,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Speedy Dog,2,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Special Cat,2,Nicho complementar
Demanda combinada por marca,Sinais combinados,Luck Dog,2,Presença complementar relevante
Demanda combinada por marca,Sinais combinados,Magnus Super Premium,2,Sinal da pesquisa anterior
Demanda combinada por marca,Sinais combinados,Formula Natural (gato),2,Sinal da pesquisa anterior
Demanda combinada por marca,Sinais combinados,Premier Hipoalergênica,2,Sinal da pesquisa anterior
Demanda combinada por marca,Sinais combinados,Multidog 100 15kg,1,Sinal pontual
Demanda combinada por marca,Sinais combinados,Dogchoni cães adultos,1,Sinal pontual
Demanda combinada por marca,Sinais combinados,DogShow,1,Sinal pontual
Embalagem consolidada,Pesquisa atual + histórico,15 kg,18,Formato dominante de entrada
Embalagem consolidada,Pesquisa atual + histórico,1 kg,8,Sinal secundário
Embalagem consolidada,Pesquisa atual + histórico,10 kg,2,Sinal fraco
Embalagem consolidada,Pesquisa atual + histórico,20 kg,2,Sinal fraco
Preço,Pesquisa estruturada,Até R$50,4,Faixa mais baixa observada
Preço,Pesquisa estruturada,R$50–100,3,Faixa intermediária de entrada
Preço,Pesquisa estruturada,R$100–150,6,Faixa mais forte
Canal de compra,Pesquisa estruturada,Pet Shop,11,Compra física e relacional domina
Canal de compra,Pesquisa estruturada,Petlove,1,Canal digital minoritário
Canal de compra,Pesquisa estruturada,Agropecuária,1,Canal minoritário
Recompra,Pesquisa estruturada,2 meses,3,Ciclo de consumo recorrente
Recompra,Pesquisa estruturada,1 mês,3,Ciclo de consumo recorrente
Recompra,Pesquisa estruturada,1 semana,2,Consumo acelerado
Recompra,Pesquisa estruturada,15 dias,1,Consumo acelerado
Recompra,Pesquisa estruturada,2 semanas,1,Consumo acelerado
Recompra,Pesquisa estruturada,3 meses,1,Consumo mais lento
Pesquisa anterior,Levantamento histórico,Contatos pesquisados,29,Evidência histórica adicional
Pesquisa anterior,Levantamento histórico,Special Dog,6,Consistência temporal
Pesquisa anterior,Levantamento histórico,Golden,5,Consistência temporal
Pesquisa anterior,Levantamento histórico,Variadas (preço),3,Consistência temporal
